A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,1,1,2026-07-08 23:24:17,Windows 10.0.26200,15.73,9.35,6.39,40.6,226,python.exe,1050.9,MsMpEng.exe,410.7,explorer.exe,379.1
1,1,1,2,2026-07-08 23:24:37,Windows 10.0.26200,15.73,9.36,6.37,40.5,223,python.exe,1051.1,MsMpEng.exe,379.0,explorer.exe,378.1
1,1,1,3,2026-07-08 23:24:57,Windows 10.0.26200,15.73,9.36,6.37,40.5,223,python.exe,1051.1,MsMpEng.exe,379.4,explorer.exe,379.0
