A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,1,1,2026-07-08 18:41:31,Ubuntu 24.04,15.35,11.06,3.67,27.9,327,python3,2064.7,mysqld,388.8,gnome-shell,335.5
-1,1,1,2,2026-07-08 18:41:51,Ubuntu 24.04,15.35,11.07,3.68,27.9,328,python3,2064.8,mysqld,388.8,gnome-shell,335.5
-1,1,1,3,2026-07-08 18:42:11,Ubuntu 24.04,15.35,11.07,3.67,27.9,328,python3,2064.8,mysqld,388.8,gnome-shell,335.6
