A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,1,1,2026-07-01 18:40:27,Windows 10.0.26200,15.73,8.75,6.98,44.4,251,MsMpEng.exe,502.6,explorer.exe,397.5,MicrosoftSecurityApp.exe,216.2
1,1,1,2,2026-07-01 18:40:47,Windows 10.0.26200,15.73,8.33,7.4,47.0,247,MsMpEng.exe,477.2,explorer.exe,395.0,MicrosoftSecurityApp.exe,216.1
1,1,1,3,2026-07-01 18:41:07,Windows 10.0.26200,15.73,8.5,7.23,46.0,243,explorer.exe,383.9,MsMpEng.exe,226.3,MicrosoftSecurityApp.exe,216.4
