A,B,C,rep,uso_percent
-1,1,-1,1,14.9
-1,1,-1,2,14.8
-1,1,-1,3,14.8
-1,1,1,1,27.9
-1,1,1,2,27.9
-1,1,1,3,27.9
1,1,-1,1,43.0
1,1,-1,2,43.1
1,1,-1,3,46.2
1,1,1,1,58.6
1,1,1,2,58.5
1,1,1,3,58.7
