medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 12:31:56,Windows 10.0.26200,7.84,1.15,6.69,85.3,280,TiWorker.exe,20604,633.9,chrome.exe,13752,528.9,MsMpEng.exe,4472,195.0
2,2026-05-09 12:32:16,Windows 10.0.26200,7.84,1.28,6.56,83.7,282,TiWorker.exe,20604,605.1,chrome.exe,13752,508.0,MsMpEng.exe,4472,198.4
3,2026-05-09 12:32:37,Windows 10.0.26200,7.84,1.13,6.71,85.6,280,chrome.exe,13752,491.7,TiWorker.exe,20604,289.0,MsMpEng.exe,4472,190.6
4,2026-05-09 12:32:57,Windows 10.0.26200,7.84,1.39,6.44,82.2,281,chrome.exe,13752,491.6,TiWorker.exe,20604,289.0,MemCompression,2856,245.9
5,2026-05-09 12:33:18,Windows 10.0.26200,7.84,1.16,6.67,85.2,283,chrome.exe,13752,491.6,TiWorker.exe,20604,289.0,MemCompression,2856,264.7
6,2026-05-09 12:33:39,Windows 10.0.26200,7.84,1.2,6.64,84.7,284,chrome.exe,13752,480.3,MsMpEng.exe,4472,213.2,Code.exe,19236,177.6
7,2026-05-09 12:33:59,Windows 10.0.26200,7.84,1.63,6.21,79.2,280,chrome.exe,13752,470.1,MsMpEng.exe,4472,209.6,Code.exe,19236,178.2
8,2026-05-09 12:34:20,Windows 10.0.26200,7.84,1.34,6.5,82.9,279,chrome.exe,13752,587.4,wuaucltcore.exe,20460,240.7,Code.exe,19236,178.4
9,2026-05-09 12:34:40,Windows 10.0.26200,7.84,1.54,6.3,80.3,278,chrome.exe,13752,475.5,MsMpEng.exe,4472,190.3,Code.exe,19236,179.1
10,2026-05-09 12:35:01,Windows 10.0.26200,7.84,1.6,6.23,79.6,278,chrome.exe,13752,475.5,MsMpEng.exe,4472,205.6,Code.exe,19236,179.7
11,2026-05-09 12:35:22,Windows 10.0.26200,7.84,1.79,6.04,77.1,279,chrome.exe,13752,455.2,wuaucltcore.exe,11028,254.3,MsMpEng.exe,4472,177.7
12,2026-05-09 12:35:42,Windows 10.0.26200,7.84,1.98,5.85,74.7,277,chrome.exe,13752,455.4,MsMpEng.exe,4472,178.4,Code.exe,19236,173.1
13,2026-05-09 12:36:02,Windows 10.0.26200,7.84,1.82,6.02,76.8,276,chrome.exe,13752,458.8,MsMpEng.exe,4472,189.4,Code.exe,19236,173.5
14,2026-05-09 12:36:23,Windows 10.0.26200,7.84,1.8,6.04,77.0,275,chrome.exe,13752,459.6,MsMpEng.exe,4472,190.5,MemCompression,2856,173.4
15,2026-05-09 12:36:43,Windows 10.0.26200,7.84,1.76,6.08,77.5,272,chrome.exe,13752,459.1,MemCompression,2856,174.1,MsMpEng.exe,4472,170.8
16,2026-05-09 12:37:04,Windows 10.0.26200,7.84,1.71,6.13,78.2,272,chrome.exe,13752,458.4,MsMpEng.exe,4472,193.4,MemCompression,2856,179.0
17,2026-05-09 12:37:24,Windows 10.0.26200,7.84,1.68,6.16,78.6,272,chrome.exe,13752,458.5,MsMpEng.exe,4472,194.0,TiWorker.exe,336,190.7
18,2026-05-09 12:37:44,Windows 10.0.26200,7.84,1.74,6.1,77.8,272,chrome.exe,13752,440.1,MemCompression,2856,222.2,TiWorker.exe,336,208.3
19,2026-05-09 12:38:05,Windows 10.0.26200,7.84,1.62,6.22,79.3,270,chrome.exe,13752,440.7,TiWorker.exe,336,267.8,MemCompression,2856,222.0
20,2026-05-09 12:38:25,Windows 10.0.26200,7.84,1.62,6.22,79.4,270,chrome.exe,13752,441.1,TiWorker.exe,336,267.7,MemCompression,2856,221.4
21,2026-05-09 12:38:45,Windows 10.0.26200,7.84,1.56,6.28,80.2,269,chrome.exe,13752,441.4,TiWorker.exe,336,269.5,MemCompression,2856,222.9
22,2026-05-09 12:39:06,Windows 10.0.26200,7.84,1.53,6.3,80.4,269,chrome.exe,13752,441.5,TiWorker.exe,336,269.7,MemCompression,2856,224.8
23,2026-05-09 12:39:26,Windows 10.0.26200,7.84,1.55,6.29,80.2,269,chrome.exe,13752,441.6,TiWorker.exe,336,270.5,MemCompression,2856,225.6
24,2026-05-09 12:39:47,Windows 10.0.26200,7.84,1.57,6.27,80.0,269,chrome.exe,13752,440.5,TiWorker.exe,336,270.9,MemCompression,2856,227.4
25,2026-05-09 12:40:07,Windows 10.0.26200,7.84,1.53,6.31,80.5,268,chrome.exe,13752,440.5,MemCompression,2856,285.4,TiWorker.exe,336,270.9
26,2026-05-09 12:40:27,Windows 10.0.26200,7.84,1.54,6.29,80.3,268,chrome.exe,13752,440.8,MemCompression,2856,286.1,TiWorker.exe,336,271.5
27,2026-05-09 12:40:48,Windows 10.0.26200,7.84,1.56,6.28,80.1,267,chrome.exe,13752,440.8,MemCompression,2856,285.8,TiWorker.exe,336,265.9
28,2026-05-09 12:41:08,Windows 10.0.26200,7.84,1.5,6.34,80.9,276,chrome.exe,13752,450.8,MemCompression,2856,301.4,TiWorker.exe,336,245.3
29,2026-05-09 12:41:29,Windows 10.0.26200,7.84,1.45,6.39,81.5,277,chrome.exe,13752,450.3,MemCompression,2856,309.4,TiWorker.exe,336,267.9
30,2026-05-09 12:41:49,Windows 10.0.26200,7.84,1.36,6.48,82.6,275,chrome.exe,13752,445.7,TiWorker.exe,336,397.5,MemCompression,2856,318.7
