A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,-1,1,1,2026-07-08 23:40:25,Windows 10.0.26200,7.84,2.37,5.47,69.8,213,python.exe,1050.9,explorer.exe,310.6,MsMpEng.exe,278.9
1,-1,1,2,2026-07-08 23:40:45,Windows 10.0.26200,7.84,2.36,5.48,69.9,212,python.exe,1051.0,explorer.exe,310.2,MsMpEng.exe,278.9
1,-1,1,3,2026-07-08 23:41:05,Windows 10.0.26200,7.84,2.32,5.52,70.4,216,python.exe,1051.1,explorer.exe,307.2,MsMpEng.exe,298.7
