A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,-1,1,2026-07-01 20:53:44,Windows 10.0.26200,15.53,9.05,6.48,41.7,226,steamwebhelper.exe,408.2,explorer.exe,342.8,MsMpEng.exe,274.5
1,1,-1,2,2026-07-01 20:54:05,Windows 10.0.26200,15.53,9.05,6.48,41.7,223,steamwebhelper.exe,408.1,explorer.exe,343.9,MsMpEng.exe,294.1
1,1,-1,3,2026-07-01 20:54:25,Windows 10.0.26200,15.53,9.04,6.49,41.8,223,steamwebhelper.exe,408.1,explorer.exe,343.9,MsMpEng.exe,294.0
