A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,-1,1,2026-07-08 22:35:41,Ubuntu 24.04,15.35,12.86,1.79,16.2,329,mysqld,388.8,gnome-shell,367.4,xdg-desktop-portal-gnome,173.3
-1,1,-1,2,2026-07-08 22:36:01,Ubuntu 24.04,15.35,12.87,1.79,16.2,327,mysqld,388.8,gnome-shell,367.2,xdg-desktop-portal-gnome,173.3
-1,1,-1,3,2026-07-08 22:36:21,Ubuntu 24.04,15.35,12.87,1.79,16.2,328,mysqld,388.8,gnome-shell,367.1,xdg-desktop-portal-gnome,173.3
