A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,-1,1,2026-07-01 13:58:31,Ubuntu 24.04,15.35,12.57,2.1,18.1,360,mysqld,389.5,gnome-shell,389.0,xdg-desktop-portal-gnome,195.2
-1,1,-1,2,2026-07-01 13:58:51,Ubuntu 24.04,15.35,12.57,2.1,18.1,359,mysqld,389.5,gnome-shell,389.0,xdg-desktop-portal-gnome,195.2
-1,1,-1,3,2026-07-01 13:59:11,Ubuntu 24.04,15.35,12.57,2.1,18.1,359,mysqld,389.5,gnome-shell,388.9,xdg-desktop-portal-gnome,195.2
