A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,-1,1,1,2026-07-01 20:30:58,Windows 10.0.26200,7.84,3.57,4.27,54.4,223,MsMpEng.exe,347.7,CrossDeviceService.exe,158.9,explorer.exe,155.0
1,-1,1,2,2026-07-01 20:31:19,Windows 10.0.26200,7.84,3.48,4.36,55.6,223,MsMpEng.exe,356.8,setup.exe,281.3,svchost.exe,181.7
1,-1,1,3,2026-07-01 20:31:39,Windows 10.0.26200,7.84,3.61,4.23,54.0,226,MsMpEng.exe,361.9,svchost.exe,175.7,CrossDeviceService.exe,162.0
