A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,-1,1,2026-07-01 20:48:19,Windows 10.0.26200,15.53,7.6,7.92,51.0,251,Code.exe,519.2,Code.exe,442.6,steamwebhelper.exe,408.8
1,1,-1,2,2026-07-01 20:48:40,Windows 10.0.26200,15.53,7.45,8.08,52.0,248,Code.exe,525.7,Code.exe,495.3,steamwebhelper.exe,408.9
1,1,-1,3,2026-07-01 20:49:01,Windows 10.0.26200,15.53,7.53,8.0,51.5,248,Code.exe,538.5,Code.exe,495.3,steamwebhelper.exe,408.2
