A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,1,1,2026-06-29 20:25:40,Fedora Linux 44,15.13,6.66,8.48,56.0,474,firefox,623.1,code,594.6,Isolated Web Co,483.2
-1,1,1,2,2026-06-29 20:26:00,Fedora Linux 44,15.13,6.7,8.44,55.8,474,firefox,623.1,code,568.6,Isolated Web Co,483.3
-1,1,1,3,2026-06-29 20:26:20,Fedora Linux 44,15.13,6.69,8.44,55.8,471,firefox,623.1,code,567.3,Isolated Web Co,483.8
