A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,-1,-1,1,2026-07-08 23:39:13,Windows 10.0.26200,7.84,3.31,4.53,57.8,214,explorer.exe,311.6,MsMpEng.exe,291.4,CrossDeviceService.exe,218.9
1,-1,-1,2,2026-07-08 23:39:33,Windows 10.0.26200,7.84,3.3,4.54,57.9,215,explorer.exe,310.6,MsMpEng.exe,290.6,CrossDeviceService.exe,221.7
1,-1,-1,3,2026-07-08 23:39:53,Windows 10.0.26200,7.84,3.32,4.51,57.6,215,explorer.exe,310.6,MsMpEng.exe,292.1,CrossDeviceService.exe,229.3
