A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,-1,1,1,2026-07-01 19:13:35,Ubuntu 24.04,7.5,6.17,0.81,17.7,294,gnome-shell,121.4,xdg-desktop-portal-gnome,95.7,gjs,38.5
-1,-1,1,2,2026-07-01 19:13:55,Ubuntu 24.04,7.5,6.17,0.81,17.7,293,gnome-shell,121.4,xdg-desktop-portal-gnome,95.7,gjs,38.5
-1,-1,1,3,2026-07-01 19:14:15,Ubuntu 24.04,7.5,6.17,0.81,17.7,293,gnome-shell,121.4,xdg-desktop-portal-gnome,95.7,gjs,38.5
