A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,-1,1,2026-06-29 20:24:59,Fedora Linux 44,15.13,6.52,8.61,56.9,470,firefox,623.0,code,593.9,Isolated Web Co,483.0
-1,1,-1,2,2026-06-29 20:25:19,Fedora Linux 44,15.13,6.61,8.52,56.3,472,firefox,623.0,code,594.0,Isolated Web Co,483.1
-1,1,-1,3,2026-06-29 20:25:39,Fedora Linux 44,15.13,6.66,8.47,56.0,474,firefox,623.1,code,594.3,Isolated Web Co,483.2
