A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,1,1,1,2026-07-08 22:32:25,Ubuntu 24.04,15.35,11.87,2.78,22.7,330,python3,1040.6,mysqld,388.8,gnome-shell,367.1
-1,1,1,2,2026-07-08 22:32:45,Ubuntu 24.04,15.35,11.88,2.78,22.6,329,python3,1040.7,mysqld,388.8,gnome-shell,367.1
-1,1,1,3,2026-07-08 22:33:05,Ubuntu 24.04,15.35,11.88,2.78,22.6,329,python3,1040.7,mysqld,388.8,gnome-shell,367.2
