medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-04-13 16:58:53,Ubuntu 24.04,7.5,3.85,3.66,48.7,295,code,3873,518.1,code,5349,489.0,code,4249,462.1
2,2026-04-13 16:58:58,Ubuntu 24.04,7.5,3.8,3.7,49.3,295,code,3873,533.4,code,5349,489.0,code,4249,461.8
3,2026-04-13 16:59:03,Ubuntu 24.04,7.5,3.82,3.68,49.1,295,code,3873,526.5,code,5349,489.0,code,4249,461.7
4,2026-04-13 16:59:08,Ubuntu 24.04,7.5,3.85,3.66,48.7,295,code,3873,524.9,code,5349,489.0,code,4249,461.7
5,2026-04-13 16:59:13,Ubuntu 24.04,7.5,3.83,3.67,48.9,295,code,3873,524.7,code,5349,489.0,code,4249,461.7
6,2026-04-13 16:59:19,Ubuntu 24.04,7.5,3.84,3.67,48.9,295,code,3873,524.8,code,5349,489.0,code,4249,461.7
7,2026-04-13 16:59:24,Ubuntu 24.04,7.5,3.84,3.66,48.8,297,code,3873,525.1,code,5349,489.0,code,4249,461.7
8,2026-04-13 16:59:29,Ubuntu 24.04,7.5,3.86,3.65,48.6,297,code,3873,525.2,code,5349,489.0,code,4249,461.7
9,2026-04-13 16:59:34,Ubuntu 24.04,7.5,3.85,3.65,48.6,298,code,3873,526.9,code,5349,489.0,code,4249,461.7
10,2026-04-13 16:59:39,Ubuntu 24.04,7.5,3.85,3.65,48.6,297,code,3873,524.7,code,5349,489.0,code,4249,461.7
11,2026-04-13 16:59:44,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,524.8,code,5349,489.0,code,4249,461.7
12,2026-04-13 16:59:49,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,526.6,code,5349,489.0,code,4249,461.7
13,2026-04-13 16:59:54,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,526.4,code,5349,489.0,code,4249,461.7
14,2026-04-13 16:59:59,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,525.3,code,5349,489.0,code,4249,462.5
15,2026-04-13 17:00:04,Ubuntu 24.04,7.5,3.86,3.65,48.6,296,code,3873,525.7,code,5349,489.0,code,4249,461.7
16,2026-04-13 17:00:09,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,525.4,code,5349,489.0,code,4249,461.7
17,2026-04-13 17:00:14,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,525.7,code,5349,489.0,code,4249,461.7
18,2026-04-13 17:00:19,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,525.6,code,5349,489.0,code,4249,461.7
19,2026-04-13 17:00:24,Ubuntu 24.04,7.5,3.85,3.65,48.7,296,code,3873,526.0,code,5349,489.0,code,4249,461.7
20,2026-04-13 17:00:30,Ubuntu 24.04,7.5,3.86,3.65,48.6,296,code,3873,526.0,code,5349,489.0,code,4249,461.7
