A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
-1,-1,-1,1,2026-07-08 19:21:05,Ubuntu 24.04,7.5,6.24,0.86,16.8,281,gnome-shell,187.7,gjs,61.7,gnome-terminal-server,56.6
-1,-1,-1,2,2026-07-08 19:21:25,Ubuntu 24.04,7.5,6.26,0.85,16.6,281,gnome-shell,187.8,gjs,61.7,gnome-terminal-server,56.6
-1,-1,-1,3,2026-07-08 19:21:46,Ubuntu 24.04,7.5,6.26,0.84,16.5,281,gnome-shell,187.7,gjs,61.7,gnome-terminal-server,56.6
