A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,1,1,2026-07-08 22:51:22,Windows 10.0.26200,15.73,6.51,9.22,58.6,259,python.exe,2075.0,explorer.exe,405.4,MsMpEng.exe,368.8
1,1,1,2,2026-07-08 22:51:42,Windows 10.0.26200,15.73,6.54,9.19,58.5,266,python.exe,2075.5,explorer.exe,402.3,MsMpEng.exe,369.3
1,1,1,3,2026-07-08 22:52:03,Windows 10.0.26200,15.73,6.49,9.24,58.7,271,python.exe,2075.1,explorer.exe,412.8,MsMpEng.exe,366.9
