A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,1,1,2026-07-01 20:49:24,Windows 10.0.26200,15.53,7.57,7.96,51.3,241,Code.exe,511.1,Code.exe,495.7,steamwebhelper.exe,408.2
1,1,1,2,2026-07-01 20:49:45,Windows 10.0.26200,15.53,7.61,7.92,51.0,240,Code.exe,522.7,Code.exe,495.7,steamwebhelper.exe,408.2
1,1,1,3,2026-07-01 20:50:06,Windows 10.0.26200,15.53,7.66,7.87,50.7,239,Code.exe,532.7,Code.exe,476.4,steamwebhelper.exe,408.2
