A,B,C,rep,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_ram_mb,top2_nome,top2_ram_mb,top3_nome,top3_ram_mb
1,1,-1,1,2026-07-01 18:39:27,Windows 10.0.26200,15.73,9.4,6.33,40.3,259,MsMpEng.exe,516.6,explorer.exe,398.1,MicrosoftSecurityApp.exe,216.1
1,1,-1,2,2026-07-01 18:39:48,Windows 10.0.26200,15.73,9.53,6.2,39.4,258,MsMpEng.exe,497.6,explorer.exe,396.7,MicrosoftSecurityApp.exe,216.2
1,1,-1,3,2026-07-01 18:40:08,Windows 10.0.26200,15.73,9.3,6.44,40.9,261,MsMpEng.exe,514.4,explorer.exe,397.6,MicrosoftSecurityApp.exe,216.1
