medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-06 08:49:44,Ubuntu 24.04,15.35,7.08,7.32,53.9,422,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
2,2026-05-06 08:49:45,Ubuntu 24.04,15.35,7.07,7.32,53.9,419,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
3,2026-05-06 08:49:46,Ubuntu 24.04,15.35,7.07,7.33,53.9,419,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
4,2026-05-06 08:49:47,Ubuntu 24.04,15.35,7.07,7.32,53.9,419,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
5,2026-05-06 08:49:48,Ubuntu 24.04,15.35,7.08,7.32,53.9,422,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
6,2026-05-06 08:49:49,Ubuntu 24.04,15.35,7.08,7.32,53.9,419,code,90819,780.5,chrome,3740,682.0,code,88193,501.0
7,2026-05-06 08:49:50,Ubuntu 24.04,15.35,7.08,7.32,53.9,419,code,90819,780.5,chrome,3740,682.1,code,88193,501.0
8,2026-05-06 08:49:51,Ubuntu 24.04,15.35,7.08,7.32,53.8,419,code,90819,780.5,chrome,3740,682.1,code,88193,501.0
9,2026-05-06 08:49:52,Ubuntu 24.04,15.35,7.09,7.31,53.8,419,code,90819,780.5,chrome,3740,682.1,code,88193,501.0
10,2026-05-06 08:49:53,Ubuntu 24.04,15.35,7.09,7.31,53.8,419,code,90819,780.5,chrome,3740,682.1,code,88193,501.0
11,2026-05-06 08:49:54,Ubuntu 24.04,15.35,7.09,7.31,53.8,419,code,90819,780.5,chrome,3740,682.1,code,88193,501.0
12,2026-05-06 08:49:55,Ubuntu 24.04,15.35,7.09,7.31,53.8,419,code,90819,780.5,chrome,3740,682.2,code,88193,501.0
